"Id","Name","Description","CreatedDate","UpdatedDate"
1,"100L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
2,"200L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
3,"300L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
4,"400L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
5,"500L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
6,"600L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
7,"700L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
8,"800L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
9,"900L","",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
9999,All,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
10000,Applicant,"",2024-04-20 23:13:25.000,2024-04-20 23:13:25.000
